108,32,38,12,36,5,21,11,10,10,10
119,35,44,16,44,6,25,15,12,13,13
128,40,53,21,50,7,28,18,14,16,15
135,42,59,30,57,8,33,20,19,19,16
146,45,65,34,65,9,37,24,22,22,18
155,50,74,39,71,10,40,27,25,25,20
162,52,80,48,78,11,45,29,28,28,22
173,55,86,52,86,12,49,33,31,31,24
182,60,95,57,92,13,52,36,34,34,26
189,62,101,66,99,14,57,38,37,37,28
200,65,107,70,107,15,61,42,40,40,30
209,70,116,75,113,16,64,45,43,43,32
216,72,122,84,120,17,69,47,46,46,34
227,75,128,88,128,18,73,51,49,49,36
236,80,137,93,134,19,76,54,52,52,38
243,82,143,102,141,20,81,56,55,55,40
254,85,149,106,149,21,85,60,58,58,42
263,90,158,111,155,22,88,63,61,61,44
270,92,164,120,162,23,93,65,64,64,46
281,95,170,124,170,24,97,69,67,67,48
290,100,179,129,176,25,100,72,70,70,50
297,102,185,138,183,26,105,74,73,73,52
308,105,191,142,191,27,109,78,76,76,54
317,110,200,147,197,28,112,81,79,79,56
324,112,206,156,204,29,117,83,82,82,58
335,115,212,160,212,30,121,87,85,85,60
344,120,221,165,218,31,124,90,88,88,62
351,122,227,174,225,32,129,92,91,91,64
362,125,233,178,233,33,133,96,94,94,66
371,130,242,183,239,34,136,99,97,97,68
378,132,248,192,246,35,141,101,100,100,70
389,135,254,196,254,36,145,105,103,103,72
398,140,263,201,260,37,148,108,106,106,74
405,142,269,210,267,38,153,110,109,109,76
416,145,275,214,275,39,157,114,112,112,78
425,150,284,219,281,40,160,117,115,115,80
432,152,290,228,288,41,165,119,118,118,82
443,155,296,232,296,42,169,123,121,121,84
452,160,305,237,302,43,172,126,124,124,86
459,162,311,246,309,44,177,128,127,127,88
470,165,317,250,317,45,181,132,130,130,90
479,170,326,255,323,46,184,135,133,133,92
486,172,332,264,330,47,189,137,136,136,94
497,175,338,268,338,48,193,141,139,139,96
506,180,347,273,344,49,196,144,142,142,98
513,182,353,282,351,50,201,146,145,145,100
524,185,359,286,359,51,205,150,148,148,102
533,190,368,291,365,52,208,153,151,151,104
540,192,374,300,372,53,213,155,154,154,106
551,195,380,304,380,54,217,159,157,157,108
560,200,389,309,386,55,220,162,160,160,110
567,202,395,318,393,56,225,164,163,163,112
578,205,401,322,401,57,229,168,166,166,114
587,210,410,327,407,58,232,171,169,169,116
594,212,416,336,414,59,237,173,172,172,118
605,215,422,340,422,60,241,177,175,175,120
614,220,431,345,428,61,244,180,178,178,122
621,222,437,354,435,62,249,182,181,181,124
632,225,443,358,443,63,253,186,184,184,126
641,230,452,363,449,64,256,189,187,187,128
648,232,458,372,456,65,261,191,190,190,130
659,235,464,376,464,66,265,195,193,193,132
668,240,473,381,470,67,268,198,196,196,134
675,242,479,390,477,68,273,200,199,199,136
686,245,485,394,485,69,277,204,202,202,138
695,250,494,399,491,70,280,207,205,205,140
702,252,500,408,498,71,285,209,208,208,142
713,255,506,412,506,72,289,213,211,211,144
722,260,515,417,512,73,292,216,214,214,146
729,262,521,426,519,74,297,218,217,217,148
740,265,527,430,527,75,301,222,220,220,150
749,270,536,435,533,76,304,225,223,223,152
756,272,542,444,540,77,309,227,226,226,154
767,275,548,448,548,78,313,231,229,229,156
776,280,557,453,554,79,316,234,232,232,158
783,282,563,462,561,80,321,236,235,235,160
794,285,569,466,569,81,325,240,238,238,162
803,290,578,471,575,82,328,243,241,241,164
810,292,584,480,582,83,333,245,244,244,166
821,295,590,484,590,84,337,249,247,247,168
830,300,599,489,596,85,340,252,250,250,170
837,302,605,498,603,86,345,254,253,253,172
848,305,611,502,611,87,349,258,256,256,174
857,310,620,507,617,88,352,261,259,259,176
864,312,626,516,624,89,357,263,262,262,178
875,315,632,520,632,90,361,267,265,265,180
884,320,641,525,638,91,364,270,268,268,182
891,322,647,534,645,92,369,272,271,271,184
902,325,653,538,653,93,373,276,274,274,186
911,330,662,543,659,94,376,279,277,277,188
918,332,668,552,666,95,381,281,280,280,190
929,335,674,556,674,96,385,285,283,283,192
938,340,683,561,680,97,388,288,286,286,194
945,342,689,570,687,98,393,290,289,289,196
956,345,695,574,695,99,397,294,292,292,198
965,350,704,579,701,100,400,297,295,295,200
972,352,710,588,708,101,405,299,298,298,202
983,355,716,592,716,102,409,303,301,301,204
992,360,725,597,722,103,412,306,304,304,206
